receta_uuid,receta_titulo,ingrediente_id,ingrediente_linea,cantidad_original,cantidad_conv,unidad,ingrediente_nombre,ingrediente_linea_limpia,ingrediente_nombre_limpio,unidad_limpia
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,1,1 taza de harina de arepa blanca o amarilla,1,1.0,taza,harina de arepa blanca o amarilla,1 taza de harina de arepa blanca o amarilla,harina de arepa blanca o amarilla,taza
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,2,1 taza de agua tibia,1,1.0,taza,agua tibia,1 taza de agua tibia,agua tibia,taza
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,3,⅓ taza de queso mozzarella o queso blanco rallado,⅓,0.3333333333,taza,queso mozzarella o queso blanco rallado,1/3 taza de queso mozzarella o queso blanco rallado,queso mozzarella o queso blanco rallado,taza
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,4,2 cucharadas de mantequilla,2,2.0,cucharadas,mantequilla,2 cucharadas de mantequilla,mantequilla,cucharada
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,5,Sal,,,,Sal,sal,sal,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,1,8 muslos de pollo sin la piel,8,8.0,,muslos de pollo sin la piel,8 muslos de pollo sin la piel,muslos de pollo sin la piel,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,2,1 cucharada de aceite vegetal,1,1.0,cucharada,aceite vegetal,1 cucharada de aceite vegetal,aceite vegetal,cucharada
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,3,½ taza de cebolla picada,½,0.5,taza,cebolla picada,1/2 taza de cebolla picada,cebolla picada,taza
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,4,½ de taza de pimientón rojo picado,½,0.5,,de taza de pimientón rojo picado,1/2 de taza de pimienton rojo picado,de taza de pimienton rojo picado,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,5,1 diente de ajo picado,1,1.0,diente,ajo picado,1 diente de ajo picado,ajo picado,diente
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,6,2 tazas de tomate picado,2,2.0,tazas,tomate picado,2 tazas de tomate picado,tomate picado,taza
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,7,1 cucharada de Sazón con azafran,1,1.0,cucharada,Sazuón con azafran,1 cucharada de sazon con azafran,sazuon con azafran,cucharada
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,8,½ cucharadita de comino en polvo,½,0.5,cucharadita,comino en polvo,1/2 cucharadita de comino en polvo,comino en polvo,cucharadita
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,9,½ de taza de cilantro fresco picado,½,0.5,,de taza de cilantro fresco picado,1/2 de taza de cilantro fresco picado,de taza de cilantro fresco picado,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,10,½ de cucharadita de sal,½,0.5,,de cucharadita de sal,1/2 de cucharadita de sal,de cucharadita de sal,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,11,½ cucharadita de pimienta,½,0.5,cucharadita,pimienta,1/2 cucharadita de pimienta,pimienta,cucharadita
