receta_uuid,receta_titulo,ingrediente_id,ingrediente_linea,cantidad_original,cantidad_conv,cantidad_min,cantidad_max,unidad,ingrediente_nombre,tcac_alimento_codigo,tcac_alimento_nombre,match_method,match_score,cantidad_gramos_est
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,1,1 taza de harina de arepa blanca o amarilla,1,1.0,,,taza,harina de arepa blanca o amarilla,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,2,1 taza de agua tibia,1,1.0,,,taza,agua tibia,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,3,⅓ taza de queso mozzarella o queso blanco rallado,⅓,0.3333333333,,,taza,queso mozzarella o queso blanco rallado,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,4,2 cucharadas de mantequilla,2,2.0,,,cucharadas,mantequilla,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,5,Sal,,,,,,Sal,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,1,8 muslos de pollo sin la piel,8,8.0,,,,muslos de pollo sin la piel,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,2,1 cucharada de aceite vegetal,1,1.0,,,cucharada,aceite vegetal,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,3,½ taza de cebolla picada,½,0.5,,,taza,cebolla picada,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,4,½ de taza de pimientón rojo picado,½,0.5,,,,de taza de pimientón rojo picado,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,5,1 diente de ajo picado,1,1.0,,,diente,ajo picado,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,6,2 tazas de tomate picado,2,2.0,,,tazas,tomate picado,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,7,1 cucharada de Sazón con azafran,1,1.0,,,cucharada,Sazuón con azafran,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,8,½ cucharadita de comino en polvo,½,0.5,,,cucharadita,comino en polvo,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,9,½ de taza de cilantro fresco picado,½,0.5,,,,de taza de cilantro fresco picado,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,10,½ de cucharadita de sal,½,0.5,,,,de cucharadita de sal,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,11,½ cucharadita de pimienta,½,0.5,,,cucharadita,pimienta,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,12,8 papas pequeñas amarillas peladas y cortadas por la mitad,8,8.0,,,,papas pequeuñas amarillas peladas y cortadas por la mitad,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,13,3 tazas de caldo de pollo,3,3.0,,,tazas,caldo de pollo,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,1,1 taza de cebolla picada,1,1.0,,,taza,cebolla picada,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,2,1 pimientón rojo finamente picado,1,1.0,,,,pimientón rojo finamente picado,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,3,4 dientes de ajo picados,4,4.0,,,dientes,ajo picados,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,4,1 cucharadita de comino molido,1,1.0,,,cucharadita,comino molido,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,5,Un cuarto de cucharadita de achiote,,,,,,Un cuarto de cucharadita de achiote,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,6,3 mazorcas de maíz cortado en 3 piezas,3,3.0,,,,mazorcas de maíz cortado en 3 piezas,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,7,12 tazas de agua o más si es necesario,12,12.0,,,tazas,agua o más si es necesario,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,8,8 piezas de pollo,8,8.0,,,,piezas de pollo,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,9,1 libra de carne de cerdo o costillas de cerdo,1,1.0,,,libra,carne de cerdo o costillas de cerdo,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,10,1 libra de carne de res cortada en trozos,1,1.0,,,libra,carne de res cortada en trozos,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,11,2 plátanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas,2,2.0,,,,plátanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,12,4 papas blancas medianas peladas y cortadas por la mitad,4,4.0,,,,papas blancas medianas peladas y cortadas por la mitad,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,13,1 libra de yuca en trozos grandes,1,1.0,,,libra,yuca en trozos grandes,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,14,Un cuarto de taza de cilantro fresco picado,,,,,,Un cuarto de taza de cilantro fresco picado,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,15,Un cuarto de cucharadita de pimienta molida,,,,,,Un cuarto de cucharadita de pimienta molida,,,,,
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,16,1 cucharadita de sal,1,1.0,,,cucharadita,sal,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,1,"1 posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas",1,1.0,,,,"posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas",,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,2,2 tazas de caldo de carne,2,2.0,,,tazas,caldo de carne,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,3,3 tazas de agua,3,3.0,,,tazas,agua,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,4,1 taza de salsa de aliños ver la receta aquí,1,1.0,,,taza,salsa de aliños ver la receta aquí,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,5,2 tazas de tomate picado,2,2.0,,,tazas,tomate picado,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,6,1 cucharadita de comino en polvo,1,1.0,,,cucharadita,comino en polvo,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,7,½ cucharadita de sazón con el color,½,0.5,,,cucharadita,sazón con el color,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,8,Sal y pimienta al gusto,,,,,,Sal y pimienta al gusto,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,9,8 papas pequeñas enteras peladas,8,8.0,,,,papas pequeñas enteras peladas,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,10,½ libra de yuca fresca o congelada,½,0.5,,,libra,yuca fresca o congelada,,,,,
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,11,Cilantro fresco,,,,,,Cilantro fresco,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,1,1 cucharadita de aceite vegetal,1,1.0,,,cucharadita,aceite vegetal,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,2,1 taza de chorizo en rodajas,1,1.0,,,taza,chorizo en rodajas,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,3,½ taza de cebolla picada,½,0.5,,,taza,cebolla picada,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,4,1 diente de ajo picado,1,1.0,,,diente,ajo picado,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,5,½ taza de cebolla larga picada,½,0.5,,,taza,cebolla larga picada,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,6,½ taza de tomates picados,½,0.5,,,taza,tomates picados,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,7,5 tazas de agua,5,5.0,,,tazas,agua,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,8,1 taza de lentejas,1,1.0,,,taza,lentejas,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,9,½ cucharadita de sal,½,0.5,,,cucharadita,sal,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,10,½ cucharadita de pimienta,½,0.5,,,cucharadita,pimienta,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,11,½ taza de zanahorias ralladas,½,0.5,,,taza,zanahorias ralladas,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,12,½ taza de papas cortadas en trozos,½,0.5,,,taza,papas cortadas en trozos,,,,,
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,13,½ cucharadita de comino en polvo,½,0.5,,,cucharadita,comino en polvo,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,1,4 cucharadas de aceite de oliva,4,4.0,,,cucharadas,aceite de oliva,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,2,4 dientes de ajo finamente picados,4,4.0,,,dientes,ajo finamente picados,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,3,1 cucharaditas de hojuelas de pimientón rojo,1,1.0,,,cucharaditas,hojuelas de pimientón rojo,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,4,1 cucharadita de comino molido,1,1.0,,,cucharadita,comino molido,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,5,1 libra de camarones pelados y limpios,1,1.0,,,libra,camarones pelados y limpios,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,6,1 taza de cilantro fresco,1,1.0,,,taza,cilantro fresco,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,7,2 cebollas largas picadas,2,2.0,,,,cebollas largas picadas,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,8,2 tazas de crema de leche,2,2.0,,,tazas,crema de leche,,,,,
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,9,Sal y pimienta al gusto,,,,,,Sal y pimienta al gusto,,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,1,"2 libras de carne de bistec falda, cortado en 4 porciones iguales",2,2.0,,,libras,"carne de bistec falda, cortado en 4 porciones iguales",,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,2,1 ½ cucharadas de aceite vegetal,1 ½,1.5,,,cucharadas,aceite vegetal,,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,3,2 dientes de ajo picados,2,2.0,,,dientes,ajo picados,,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,4,½ cucharada de mostaza,½,0.5,,,cucharada,mostaza,,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,5,1 cucharada de comino molido,1,1.0,,,cucharada,comino molido,,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,6,Sal y pimienta negra,,,,,,Sal y pimienta negra,,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,7,2 cucharadas de cilantro fresco picado,2,2.0,,,cucharadas,cilantro fresco picado,,,,,
86af71be-e16a-11ed-afa4-a96d6180cd25,Bistec a la Criolla,8,2 tazas de hogao ver la receta aquí,2,2.0,,,tazas,hogao ver la receta aquí,,,,,
86af71bf-e16a-11ed-b6df-a96d6180cd25,Arepas de Yuca,1,1 libra de yuca cocida,1,1.0,,,libra,yuca cocida,,,,,
86af71bf-e16a-11ed-b6df-a96d6180cd25,Arepas de Yuca,2,Media taza de Masarepa,,,,,,Media taza de Masarepa,,,,,
86af71bf-e16a-11ed-b6df-a96d6180cd25,Arepas de Yuca,3,2 cucharadas de leche,2,2.0,,,cucharadas,leche,,,,,
86af71bf-e16a-11ed-b6df-a96d6180cd25,Arepas de Yuca,4,2 cucharadas de mantequilla derretida,2,2.0,,,cucharadas,mantequilla derretida,,,,,
86af71bf-e16a-11ed-b6df-a96d6180cd25,Arepas de Yuca,5,Un cuarto de taza de queso mozzarella rallado o queso blanco,,,,,,Un cuarto de taza de queso mozzarella rallado o queso blanco,,,,,
86af71bf-e16a-11ed-b6df-a96d6180cd25,Arepas de Yuca,6,Sal al gusto,,,,,,Sal al gusto,,,,,
86af71bf-e16a-11ed-b6df-a96d6180cd25,Arepas de Yuca,7,Mantequilla para cocinar las arepas,,,,,,Mantequilla para cocinar las arepas,,,,,
86af71c0-e16a-11ed-924d-a96d6180cd25,Sopa de Lentejas con Carne,1,1 taza de salsa de aliños ver receta aquí,1,1.0,,,taza,salsa de aliños ver receta aquí,,,,,
86af71c0-e16a-11ed-924d-a96d6180cd25,Sopa de Lentejas con Carne,2,2 zanahorias grandes peladas y cortadas en cubitos,2,2.0,,,,zanahorias grandes peladas y cortadas en cubitos,,,,,
86af71c0-e16a-11ed-924d-a96d6180cd25,Sopa de Lentejas con Carne,3,Sal y pimienta al gusto,,,,,,Sal y pimienta al gusto,,,,,
86af71c0-e16a-11ed-924d-a96d6180cd25,Sopa de Lentejas con Carne,4,1 libra de carne de res cortada en trozos,1,1.0,,,libra,carne de res cortada en trozos,,,,,
