receta_uuid,receta_titulo,ingrediente_id,ingrediente_linea,cantidad_original,cantidad_conv,unidad,ingrediente_nombre,ingrediente_linea_limpia,ingrediente_nombre_limpio,unidad_limpia,tokens_linea,lemas_linea,tokens_ingrediente,lemas_ingrediente,ingrediente_linea_lematizada,ingrediente_nombre_lematizado
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,1,1 taza de harina de arepa blanca o amarilla,1,1.0,taza,harina de arepa blanca o amarilla,1 taza de harina de arepa blanca o amarilla,harina de arepa blanca o amarilla,taza,"['1', 'taza', 'de', 'harina', 'de', 'arepa', 'blanca', 'o', 'amarilla']","['1', 'taza', 'de', 'harina', 'de', 'arepa', 'blanco', 'o', 'amarillo']","['harina', 'de', 'arepa', 'blanca', 'o', 'amarilla']","['harina', 'de', 'arepa', 'blanco', 'o', 'amarillo']",1 taza de harina de arepa blanco o amarillo,harina de arepa blanco o amarillo
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,2,1 taza de agua tibia,1,1.0,taza,agua tibia,1 taza de agua tibia,agua tibia,taza,"['1', 'taza', 'de', 'agua', 'tibia']","['1', 'taza', 'de', 'agua', 'tibio']","['agua', 'tibia']","['agua', 'tibio']",1 taza de agua tibio,agua tibio
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,3,⅓ taza de queso mozzarella o queso blanco rallado,⅓,0.3333333333,taza,queso mozzarella o queso blanco rallado,1/3 taza de queso mozzarella o queso blanco rallado,queso mozzarella o queso blanco rallado,taza,"['1/3', 'taza', 'de', 'queso', 'mozzarella', 'o', 'queso', 'blanco', 'rallado']","['1/3', 'taza', 'de', 'queso', 'mozzarella', 'o', 'queso', 'blanco', 'rallado']","['queso', 'mozzarella', 'o', 'queso', 'blanco', 'rallado']","['queso', 'mozzarella', 'o', 'queso', 'blanco', 'rallado']",1/3 taza de queso mozzarella o queso blanco rallado,queso mozzarella o queso blanco rallado
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,4,2 cucharadas de mantequilla,2,2.0,cucharadas,mantequilla,2 cucharadas de mantequilla,mantequilla,cucharada,"['2', 'cucharadas', 'de', 'mantequilla']","['2', 'cucharada', 'de', 'mantequilla']",['mantequilla'],['mantequilla'],2 cucharada de mantequilla,mantequilla
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,5,Sal,,,,Sal,sal,sal,,['sal'],['sal'],['sal'],['sal'],sal,sal
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,1,8 muslos de pollo sin la piel,8,8.0,,muslos de pollo sin la piel,8 muslos de pollo sin la piel,muslos de pollo sin la piel,,"['8', 'muslos', 'de', 'pollo', 'sin', 'la', 'piel']","['8', 'muslo', 'de', 'pollo', 'sin', 'el', 'piel']","['muslos', 'de', 'pollo', 'sin', 'la', 'piel']","['muslo', 'de', 'pollo', 'sin', 'el', 'piel']",8 muslo de pollo sin el piel,muslo de pollo sin el piel
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,2,1 cucharada de aceite vegetal,1,1.0,cucharada,aceite vegetal,1 cucharada de aceite vegetal,aceite vegetal,cucharada,"['1', 'cucharada', 'de', 'aceite', 'vegetal']","['1', 'cucharada', 'de', 'aceite', 'vegetal']","['aceite', 'vegetal']","['aceite', 'vegetal']",1 cucharada de aceite vegetal,aceite vegetal
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,3,½ taza de cebolla picada,½,0.5,taza,cebolla picada,1/2 taza de cebolla picada,cebolla picada,taza,"['1/2', 'taza', 'de', 'cebolla', 'picada']","['1/2', 'taza', 'de', 'cebolla', 'picado']","['cebolla', 'picada']","['cebollo', 'picado']",1/2 taza de cebolla picado,cebollo picado
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,4,½ de taza de pimientón rojo picado,½,0.5,,de taza de pimientón rojo picado,1/2 de taza de pimienton rojo picado,de taza de pimienton rojo picado,,"['1/2', 'de', 'taza', 'de', 'pimienton', 'rojo', 'picado']","['1/2', 'de', 'taza', 'de', 'pimienton', 'rojo', 'picado']","['de', 'taza', 'de', 'pimienton', 'rojo', 'picado']","['de', 'taza', 'de', 'pimienton', 'rojo', 'picado']",1/2 de taza de pimienton rojo picado,de taza de pimienton rojo picado
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,5,1 diente de ajo picado,1,1.0,diente,ajo picado,1 diente de ajo picado,ajo picado,diente,"['1', 'diente', 'de', 'ajo', 'picado']","['1', 'diente', 'de', 'ajo', 'picado']","['ajo', 'picado']","['agir', 'picado']",1 diente de ajo picado,agir picado
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,6,2 tazas de tomate picado,2,2.0,tazas,tomate picado,2 tazas de tomate picado,tomate picado,taza,"['2', 'tazas', 'de', 'tomate', 'picado']","['2', 'taza', 'de', 'tomate', 'picado']","['tomate', 'picado']","['tomatir', 'picado']",2 taza de tomate picado,tomatir picado
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,7,1 cucharada de Sazón con azafran,1,1.0,cucharada,Sazuón con azafran,1 cucharada de sazon con azafran,sazuon con azafran,cucharada,"['1', 'cucharada', 'de', 'sazon', 'con', 'azafran']","['1', 'cucharada', 'de', 'sazon', 'con', 'azafran']","['sazuon', 'con', 'azafran']","['sazuon', 'con', 'azafran']",1 cucharada de sazon con azafran,sazuon con azafran
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,8,½ cucharadita de comino en polvo,½,0.5,cucharadita,comino en polvo,1/2 cucharadita de comino en polvo,comino en polvo,cucharadita,"['1/2', 'cucharadita', 'de', 'comino', 'en', 'polvo']","['1/2', 'cucharaditar', 'de', 'comino', 'en', 'polvo']","['comino', 'en', 'polvo']","['comino', 'en', 'polvo']",1/2 cucharaditar de comino en polvo,comino en polvo
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,9,½ de taza de cilantro fresco picado,½,0.5,,de taza de cilantro fresco picado,1/2 de taza de cilantro fresco picado,de taza de cilantro fresco picado,,"['1/2', 'de', 'taza', 'de', 'cilantro', 'fresco', 'picado']","['1/2', 'de', 'taza', 'de', 'cilantro', 'fresco', 'picado']","['de', 'taza', 'de', 'cilantro', 'fresco', 'picado']","['de', 'taza', 'de', 'cilantro', 'fresco', 'picado']",1/2 de taza de cilantro fresco picado,de taza de cilantro fresco picado
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,10,½ de cucharadita de sal,½,0.5,,de cucharadita de sal,1/2 de cucharadita de sal,de cucharadita de sal,,"['1/2', 'de', 'cucharadita', 'de', 'sal']","['1/2', 'de', 'cucharadita', 'de', 'sal']","['de', 'cucharadita', 'de', 'sal']","['de', 'cucharadita', 'de', 'sal']",1/2 de cucharadita de sal,de cucharadita de sal
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,11,½ cucharadita de pimienta,½,0.5,cucharadita,pimienta,1/2 cucharadita de pimienta,pimienta,cucharadita,"['1/2', 'cucharadita', 'de', 'pimienta']","['1/2', 'cucharaditar', 'de', 'pimienta']",['pimienta'],['pimienta'],1/2 cucharaditar de pimienta,pimienta
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,12,8 papas pequeñas amarillas peladas y cortadas por la mitad,8,8.0,,papas pequeuñas amarillas peladas y cortadas por la mitad,8 papas pequenas amarillas peladas y cortadas por la mitad,papas pequeunas amarillas peladas y cortadas por la mitad,,"['8', 'papas', 'pequenas', 'amarillas', 'peladas', 'y', 'cortadas', 'por', 'la', 'mitad']","['8', 'papas', 'pequena', 'amarillo', 'pelada', 'y', 'cortado', 'por', 'el', 'mitad']","['papas', 'pequeunas', 'amarillas', 'peladas', 'y', 'cortadas', 'por', 'la', 'mitad']","['papa', 'pequeuna', 'amarillo', 'pelada', 'y', 'cortado', 'por', 'el', 'mitad']",8 papas pequena amarillo pelada y cortado por el mitad,papa pequeuna amarillo pelada y cortado por el mitad
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,13,3 tazas de caldo de pollo,3,3.0,tazas,caldo de pollo,3 tazas de caldo de pollo,caldo de pollo,taza,"['3', 'tazas', 'de', 'caldo', 'de', 'pollo']","['3', 'taza', 'de', 'caldo', 'de', 'pollo']","['caldo', 'de', 'pollo']","['caldo', 'de', 'pollo']",3 taza de caldo de pollo,caldo de pollo
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,1,1 taza de cebolla picada,1,1.0,taza,cebolla picada,1 taza de cebolla picada,cebolla picada,taza,"['1', 'taza', 'de', 'cebolla', 'picada']","['1', 'taza', 'de', 'cebolla', 'picado']","['cebolla', 'picada']","['cebollo', 'picado']",1 taza de cebolla picado,cebollo picado
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,2,1 pimientón rojo finamente picado,1,1.0,,pimientón rojo finamente picado,1 pimienton rojo finamente picado,pimienton rojo finamente picado,,"['1', 'pimienton', 'rojo', 'finamente', 'picado']","['1', 'pimienton', 'rojo', 'finamente', 'picado']","['pimienton', 'rojo', 'finamente', 'picado']","['pimienton', 'rojo', 'finamente', 'picado']",1 pimienton rojo finamente picado,pimienton rojo finamente picado
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,3,4 dientes de ajo picados,4,4.0,dientes,ajo picados,4 dientes de ajo picados,ajo picados,diente,"['4', 'dientes', 'de', 'ajo', 'picados']","['4', 'diente', 'de', 'ajo', 'picado']","['ajo', 'picados']","['agir', 'picado']",4 diente de ajo picado,agir picado
