recipe_id,recipe_title,ingredient_id,original_text,clean_text,ingredient_name_clean,unit_clean,quantity_original,quantity_value,unit_extracted,ingredient_extracted,preparation_state,metric_equivalent_value,metric_equivalent_unit,ingredient_standardized,metric_quantity_value,metric_quantity_unit,conversion_method
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,1,1 taza de harina de arepa blanca o amarilla,1 taza de harina de arepa blanca o amarilla,harina de arepa blanca o amarilla,taza,1,1.0,taza,harina de arepa blanca o amarilla,,,,harina de arepa,132.0,g,conversion_volumen_a_gramos_por_densidad
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,2,1 taza de agua tibia,1 taza de agua tibia,agua tibia,taza,1,1.0,taza,agua,tibia,,,agua,240.0,g,conversion_volumen_a_gramos_por_densidad
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,3,⅓ taza de queso mozzarella o queso blanco rallado,1/3 taza de queso mozzarella o queso blanco rallado,queso mozzarella o queso blanco rallado,taza,1/3,0.3333333333333333,taza,queso mozzarella o queso blanco,rallado,,,queso mozzarella,48.0,g,conversion_volumen_a_gramos_por_densidad
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,4,2 cucharadas de mantequilla,2 cucharadas de mantequilla,mantequilla,cucharada,2,2.0,cucharadas,mantequilla,,,,mantequilla,28.799999999999997,g,conversion_volumen_a_gramos_por_densidad
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,5,Sal,sal,sal,,1,1.0,unidad,sal,,,,sal,,,sin_conversion
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,1,8 muslos de pollo sin la piel,8 muslos de pollo sin la piel,muslos de pollo sin la piel,,8,8.0,unidad,muslos de pollo sin la piel,,,,pollo,960.0,g,conversion_por_peso_unitario
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,2,1 cucharada de aceite vegetal,1 cucharada de aceite vegetal,aceite vegetal,cucharada,1,1.0,cucharada,aceite vegetal,,,,aceite vegetal,13.8,g,conversion_volumen_a_gramos_por_densidad
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,3,½ taza de cebolla picada,1/2 taza de cebolla picada,cebolla picada,taza,1/2,0.5,taza,cebolla,picada,,,cebolla,78.0,g,conversion_volumen_a_gramos_por_densidad
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,4,½ de taza de pimientón rojo picado,1/2 de taza de pimienton rojo picado,de taza de pimienton rojo picado,,1/2,0.5,taza,pimienton rojo,picado,,,pimienton rojo,120.0,ml,conversion_directa
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,5,1 diente de ajo picado,1 diente de ajo picado,ajo picado,diente,1,1.0,diente,ajo,picado,,,ajo,3.0,g,conversion_por_peso_unitario
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,6,2 tazas de tomate picado,2 tazas de tomate picado,tomate picado,taza,2,2.0,tazas,tomate,picado,,,tomate,312.0,g,conversion_volumen_a_gramos_por_densidad
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,7,1 cucharada de Sazón con azafran,1 cucharada de sazon con azafran,sazuon con azafran,cucharada,1,1.0,cucharada,sazon con azafran,,,,sazon,15.0,ml,conversion_directa
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,8,½ cucharadita de comino en polvo,1/2 cucharadita de comino en polvo,comino en polvo,cucharadita,1/2,0.5,cucharadita,comino en polvo,,,,comino,2.5,ml,conversion_directa
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,9,½ de taza de cilantro fresco picado,1/2 de taza de cilantro fresco picado,de taza de cilantro fresco picado,,1/2,0.5,taza,cilantro,fresco picado,,,cilantro,24.0,g,conversion_volumen_a_gramos_por_densidad
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,10,½ de cucharadita de sal,1/2 de cucharadita de sal,de cucharadita de sal,,1/2,0.5,cucharadita,sal,,,,sal,2.5,ml,conversion_directa
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,11,½ cucharadita de pimienta,1/2 cucharadita de pimienta,pimienta,cucharadita,1/2,0.5,cucharadita,pimienta,,,,pimienta,2.5,ml,conversion_directa
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,12,8 papas pequeñas amarillas peladas y cortadas por la mitad,8 papas pequenas amarillas peladas y cortadas por la mitad,papas pequeunas amarillas peladas y cortadas por la mitad,,8,8.0,unidad,papas pequenas amarillas peladas y por la,cortadas mitad,,,papa,1200.0,g,conversion_por_peso_unitario
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,13,3 tazas de caldo de pollo,3 tazas de caldo de pollo,caldo de pollo,taza,3,3.0,tazas,caldo de pollo,,,,caldo de pollo,720.0,ml,conversion_directa
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,1,1 taza de cebolla picada,1 taza de cebolla picada,cebolla picada,taza,1,1.0,taza,cebolla,picada,,,cebolla,156.0,g,conversion_volumen_a_gramos_por_densidad
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,2,1 pimientón rojo finamente picado,1 pimienton rojo finamente picado,pimienton rojo finamente picado,,1,1.0,unidad,pimienton rojo,finamente picado,,,pimienton rojo,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,3,4 dientes de ajo picados,4 dientes de ajo picados,ajo picados,diente,4,4.0,dientes,ajo,picados,,,ajo,12.0,g,conversion_por_peso_unitario
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,4,1 cucharadita de comino molido,1 cucharadita de comino molido,comino molido,cucharadita,1,1.0,cucharadita,comino,molido,,,comino,5.0,ml,conversion_directa
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,5,Un cuarto de cucharadita de achiote,un cuarto de cucharadita de achiote,un cuarto de cucharadita de achiote,,1,1.0,unidad,cuarto de cucharadita de achiote,,,,achiote,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,6,3 mazorcas de maíz cortado en 3 piezas,3 mazorcas de maiz cortado en 3 piezas,mazorcas de maiz cortado en 3 piezas,,3,3.0,unidad,mazorcas de maiz en 3 piezas,cortado,,,mazorca de maiz en 3 pieza,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,7,12 tazas de agua o más si es necesario,12 tazas de agua o mas si es necesario,agua o mas si es necesario,taza,12,12.0,tazas,agua o mas si es necesario,,,,agua o mas si es necesario,2880.0,ml,conversion_directa
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,8,8 piezas de pollo,8 piezas de pollo,piezas de pollo,,8,8.0,piezas,pollo,,,,pollo,960.0,g,conversion_por_peso_unitario
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,9,1 libra de carne de cerdo o costillas de cerdo,1 libra de carne de cerdo o costillas de cerdo,carne de cerdo o costillas de cerdo,libra,1,1.0,libra,carne de cerdo o costillas de cerdo,,,,carne de cerdo,453.592,g,conversion_directa
