receta_uuid,receta_titulo,receta_url,ingrediente_id,ingrediente_linea,cantidad_original,cantidad_conv,cantidad_min,cantidad_max,unidad,ingrediente_nombre,tcac_alimento_codigo,tcac_alimento_nombre,match_method,match_score,cantidad_gramos_est
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,https://www.mycolombianrecipes.com/es/arepas-de-queso/,1,1 taza de harina de arepa blanca o amarilla,1,1,,,taza,harina de arepa blanca o amarilla,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,https://www.mycolombianrecipes.com/es/arepas-de-queso/,2,1 taza de agua tibia,1,1,,,taza,agua tibia,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,https://www.mycolombianrecipes.com/es/arepas-de-queso/,3,⅓ taza de queso mozzarella o queso blanco rallado,⅓,0.3333333333,,,taza,queso mozzarella o queso blanco rallado,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,https://www.mycolombianrecipes.com/es/arepas-de-queso/,4,2 cucharadas de mantequilla,2,2,,,cucharadas,mantequilla,,,,,
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,https://www.mycolombianrecipes.com/es/arepas-de-queso/,5,Sal,,,,,,Sal,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,https://www.mycolombianrecipes.com/es/sudado-de-pollo/,1,8 muslos de pollo sin la piel,8,8,,,,muslos de pollo sin la piel,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,https://www.mycolombianrecipes.com/es/sudado-de-pollo/,2,1 cucharada de aceite vegetal,1,1,,,cucharada,aceite vegetal,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,https://www.mycolombianrecipes.com/es/sudado-de-pollo/,3,½ taza de cebolla picada,½,0.5,,,taza,cebolla picada,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,https://www.mycolombianrecipes.com/es/sudado-de-pollo/,4,½ de taza de pimientón rojo picado,½,0.5,,,,de taza de pimientón rojo picado,,,,,
86af61e5-e16a-11ed-abef-a96d6180cd25,Sudado de Pollo,https://www.mycolombianrecipes.com/es/sudado-de-pollo/,5,1 diente de ajo picado,1,1,,,diente,ajo picado,,,,,
