grupo_Alimento,codigo,nombre_alimento,parte_analizada,humedad_g,energia_kcal,energia_kj,proteina_g,lipidos_g,carbohidratos_totales_g,carbohidratos_disponibles_g,fibra_dietaria_g,cenizas_g,calcio_mg,hierro_mg,sodio_mg,fosforo_mg,yodo_mg,zinc_mg,magnesio_mg,potasio_mg,tiamina_mg,riboflavina_mg,niacina_mg,Folatos (mcg),vitamina_b12_mcg,vitamina_c_mg,vitamina_a_er,grasa_saturada_g,grasa_monoinsaturada_g,grasa_poliinsaturada_g,colesterol_mg,parte_comestible_pct,puntaje_positivo,puntaje_negativo,carga_nutricional_nrf,ratio_carbo_fibra,calidad_carbo_fibra,ratio_grasas_saludables,calidad_grasa,Energía (kcal)
Cereales_Derivados,A001,"Almidón de maíz, crudo",,8,370,1571,0.3,0.1,91.4,90.5,0.9,0.1,2,0.5,9,14,0.5,0.1,3,3,0,0,0,0,0,0,0,0,0,0,0,100,7.524025147,0,7.524025147,101.5555556,Baja (Refinado),0,Baja (Proaterogénica),
Cereales_Derivados,A002,"Almojábana, bogotana, horneada",,41.3,285,1196,13,12.3,30.6,,,2.8,320,2.2,,330,,,,,0.08,0.4,0.9,,,0,,,,,,100,62.83760684,0,62.83760684,,Baja (Sin Fibra),,,
Cereales_Derivados,A003,"Almojábana, vallecaucana, horneada",,29.1,341,1430,17.5,14.7,34.6,,,4.1,500,2.2,,340,,,,,0.04,0.4,0.1,,,0,,,,,,100,85.68376068,0,85.68376068,,Baja (Sin Fibra),,,
Cereales_Derivados,A004,"Arepa de maíz precocido, con sal",,60.3,163,690,3.3,0.9,35,34.1,0.9,0.6,17,0.7,188,22,,0.2,10,55,0.09,0.09,0.1,,,0,36,,,,,100,22.56203206,0,22.56203206,38.88888889,Baja (Refinado),,,
Cereales_Derivados,A005,"Arepa de maíz precocido, sin sal",,61.3,156,664,3.4,0.5,34.5,,,0.3,19,0.5,,163,,0.2,10,33,0.36,0.05,1.4,,0,0,0,,,,,100,14.12239628,0,14.12239628,,Baja (Sin Fibra),,,
Cereales_Derivados,A006,"Arepa de maíz, asada",,59.5,162,688,4.1,0,36.3,,,0.1,3,1.5,,50,,,20,220,0.03,0.01,0.1,,0,0,0,,,,,100,26.20685839,0,26.20685839,,Baja (Sin Fibra),,,
Cereales_Derivados,A007,"Arepa de maíz, con queso, asada",,57.3,211,884,4.8,8.4,29,,,0.5,,,,,,,,,,,,,0,,,,,,,100,9.6,0,9.6,,Baja (Sin Fibra),,,
Cereales_Derivados,A008,"Arepa de maíz, frita",,44.1,325,1355,3.4,20.3,32.1,,,0.1,2,0.4,,18,,,,,0.02,0.01,0.1,,0,0,,,,,,100,9.176068376,0,9.176068376,,Baja (Sin Fibra),,,
Cereales_Derivados,A009,"Arroz blanco, pulido, cocido, sin sal",Semilla,62.9,161,683,2.3,2.1,32.5,30.9,1.6,0.1,10,0.2,4,37,5,0.7,9,34,0.01,0.02,0.3,2,0,0,0,0.7,1.1,0,0,100,15.56088899,0,15.56088899,20.3125,Baja (Refinado),1.571428571,Baja (Proaterogénica),
Cereales_Derivados,A010,"Arroz blanco, pulido, crudo",Semilla,12.3,353,1498,6.7,0.4,80.1,79,1,0.5,9,0.8,2,140,14,1.2,35,85,0.07,0.03,1.8,9,0,0,0,0.2,0.2,0.2,0,100,34.50002468,0,34.50002468,80.1,Baja (Refinado),2,Alta (Cardioprotectora),
