recipe_id,recipe_title,ingredient_id,original_text,clean_text,ingredient_name_clean,unit_clean,quantity_original,quantity_value,unit_extracted,ingredient_extracted,preparation_state,metric_equivalent_value,metric_equivalent_unit,ingredient_standardized,metric_quantity_value,metric_quantity_unit,conversion_method
86af61e4-e16a-11ed-9591-a96d6180cd25,Arepas de Queso,5,Sal,sal,sal,,1,1.0,unidad,sal,,,,sal,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,2,1 pimientón rojo finamente picado,1 pimienton rojo finamente picado,pimienton rojo finamente picado,,1,1.0,unidad,pimienton rojo,finamente picado,,,pimienton rojo,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,5,Un cuarto de cucharadita de achiote,un cuarto de cucharadita de achiote,un cuarto de cucharadita de achiote,,1,1.0,unidad,cuarto de cucharadita de achiote,,,,achiote,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,6,3 mazorcas de maíz cortado en 3 piezas,3 mazorcas de maiz cortado en 3 piezas,mazorcas de maiz cortado en 3 piezas,,3,3.0,unidad,mazorcas de maiz en 3 piezas,cortado,,,mazorca de maiz en 3 pieza,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,14,Un cuarto de taza de cilantro fresco picado,un cuarto de taza de cilantro fresco picado,un cuarto de taza de cilantro fresco picado,,1,1.0,unidad,cuarto de taza de cilantro,fresco picado,,,cilantro,,,sin_conversion
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,15,Un cuarto de cucharadita de pimienta molida,un cuarto de cucharadita de pimienta molida,un cuarto de cucharadita de pimienta molida,,1,1.0,unidad,cuarto de cucharadita de pimienta,molida,,,cuarto de cucharadita de pimienta,,,sin_conversion
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,1,"1 posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas","1 posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas","posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas",,1,1.0,unidad,"posta o muchacho de 3 a 4 libras, gruesas",cortada en rodajas,,,posta o muchacho de 3 a 4 libra gruesa,,,sin_conversion
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,8,Sal y pimienta al gusto,sal y pimienta al gusto,sal y pimienta al gusto,,1,1.0,unidad,sal y pimienta,,,,sal y pimienta,,,sin_conversion
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,11,Cilantro fresco,cilantro fresco,cilantro fresco,,1,1.0,unidad,cilantro,fresco,,,cilantro,,,sin_conversion
86af71bd-e16a-11ed-be2a-a96d6180cd25,Camarones con Salsa de Cilantro,7,2 cebollas largas picadas,2 cebollas largas picadas,cebollas largas picadas,,2,2.0,unidad,cebollas largas,picadas,,,cebolla larga,,,sin_conversion
