ingredient_extracted,ingredient_standardized,frecuencia
sal,sal,149
agua,agua,140
sal y pimienta,sal y pimienta,137
azucar,azucar,107
cilantro,cilantro,99
ajo,ajo,98
comino,comino,98
mantequilla,mantequilla,88
cebolla,cebolla,84
leche,leche,46
extracto de vainilla,extracto de vainilla,46
aceite de oliva,aceite de oliva,46
cebollas largas,cebolla larga,43
aceite vegetal para freir,aceite vegetal,38
aceite vegetal,aceite vegetal,35
jugo de limon,jugo de limon,30
crema de leche,crema de leche,29
queso mozzarella,queso mozzarella,26
huevos,huevo,25
polvo de hornear,polvo de hornear,24
canela,canela,22
pimenton rojo,pimenton,22
cebolla blanca,cebolla,21
pimienta,pimienta,20
tomate,tomate,20
leche entera,leche,19
cebolla larga,cebolla larga,19
hielo,hielo,18
perejil,perejil,18
huevo,huevo,18
mayonesa,mayonesa,18
harina,harina,17
harina para todo uso,harina para todo uso,17
caldo de pollo,caldo de pollo,17
azuucar,azuucar,17
vinagre blanco,vinagre,16
leche de coco,leche de coco,16
achiote,achiote,16
aceite,aceite,16
comino en polvo,comino,15
polvo para hornear,polvo para hornear,14
huevos batidos,huevo batido,14
coco,coco,14
caldo de carne,caldo de carne,14
leche condensada,leche condensada,13
salsa de tomate,tomate,13
carne de res,carne de res,12
pasta de tomate,tomate,12
huevos grandes a temperatura ambiente,huevo a temperatura ambiente,11
platanos verdes pelados y,platano,11
queso mozzarella o queso blanco,queso mozzarella,11
el jugo de 1 limon,jugo de 1 limon,11
pimenton verde,pimenton,10
hogao,hogao,10
azucar o,azucar,10
masarepa,harina de arepa,10
leche evaporada,leche evaporada,10
arvejas,arveja,10
ajo machacados,ajo machacado,10
zanahorias,zanahoria,10
arroz,arroz,9
azucar en polvo,azucar en polvo,9
yemas de huevo,yema de huevo,9
pimenton,pimenton,9
claras de huevo,clara de huevo,9
tomillo,tomillo,8
tomates,tomate,8
sazon con azafran,sazon,8
arroz blanco,arroz,8
harina de trigo,harina de trigo,8
laurel,laurel,8
cremor tartaro,cremor tartaro,8
pimienton rojo,pimienton rojo,8
sal y pimienta negra,sal y pimienta negra,8
cebolla verde,cebolla,8
cilantro para servir,cilantro,7
achiote o color,achiote,7
papas peladas y,papa,7
cebolla roja,cebolla,7
mantequilla blanda,mantequilla blanda,7
astilla de canela,astilla de canela,7
jugo de naranja,jugo de naranja,7
mantequilla sin sal,mantequilla sin sal,7
mantequilla para el glaseado,mantequilla para el glaseado,7
yuca,yuca,6
aceite para freir,aceite para freir,6
palitos de canela,palito de canela,6
salsa rosada,salsa rosada,6
camarones grandes pelados y limpios,camaron,6
pan,pan,6
agua helada,agua helada,6
salsa picante,salsa picante,6
arroz blanco de grano largo,arroz de grano largo,6
cerveza,cerveza,6
mostaza,mostaza,6
cebollas largas pequenos,cebolla larga,6
ajo en polvo,ajo en polvo,6
mantequilla a temperatura ambiente,mantequilla a temperatura ambiente,6
dulce de leche,dulce de leche,5
el jugo de 2 limones,jugo de 2 limon,5
mantequilla o aceite en aerosol para cocinar las arepas,mantequilla o aceite en aerosol para cocinar las arepa,5
sal y pimienta para probar,sal y pimienta para probar,5
azucar morena o panela,azucar morena o panela,5
zanahoria y,zanahoria,5
harina de maiz precocida masarepa,harina de arepa,5
aguacate y,aguacate,5
aguacate para servir,aguacate para servir,5
astillas de canela,astilla de canela,5
fresas,fresa,5
levadura,levadura,5
14 onzas de leche condensada,14 onza de leche condensada,5
carne molida de res,carne molida de res,5
zanahorias peladas y,zanahoria,5
pechugas de pollo,pollo,5
pina y,pina,5
zanahorias grandes peladas y,zanahoria,5
perejil 1 poco mas para adornar,perejil 1 poco mas para adornar,5
pimienta negra,pimienta,5
carne molida de cerdo,carne molida de cerdo,5
panela o azucar morena,panela o azucar morena,5
panela,panela,5
cilantro para adornar,cilantro,5
sal a su gusto,sal a su gusto,5
papa criolla,papa criolla,5
yuca o congelada,yuca,5
yuca y,yuca,5
huevo para el glaseado,huevo para el glaseado,5
harina de maiz,harina de maiz,5
cilantro o perejil,cilantro,4
salsa de alinos ver receta aqui,salsa de alino ver receta aqui,4
salsa de alinos ver la receta aqui,salsa de alino ver la receta aqui,4
naranja,naranja,4
pina,pina,4
helado de vainilla para servir,helado de vainilla para servir,4
platano verde y,platano,4
pollo,pollo,4
platanos verdes,platano,4
pescado blanco,pescado,4
cebolla en polvo,cebolla,4
platanos muy maduros,platano,4
patacones receta aqui,patacon receta aqui,4
carne molida,carne molida,4
pimiento rojo,pimienton rojo,4
arequipe o dulce de leche,arequipe o dulce de leche,4
fecula de maiz,fecula de maiz,4
arepas cocinadas,arepa cocinada,4
to mate,to mate,4
maiz blanco,maiz,4
el jugo de 1/2 limon,jugo de 1 2 limon,4
mantequilla o aceite,mantequilla o aceite,4
azucar para adornar,azucar para adornar,4
extracto de coco,extracto de coco,4
hojas de cilantro,cilantro,4
huevos grandes,huevo,4
harina de yuca,yuca,4
agua o mas si es necesario,agua o mas si es necesario,4
aguacate,aguacate,4
huevos enteros,huevo entero,4
huevos separados,huevo separado,4
lentejas,lenteja,4
ciruelas pasas sin semilla,ciruela pasa sin semilla,4
salsa de alinos,salsa de alino,4
papa y,papa,4
bicarbonato de soda,bicarbonato de soda,4
bicarbonato de sodio,bicarbonato de sodio,4
